From	To
MCAF2_HUMAN	ENSG00000166669.14
AP3B2_HUMAN	ENSG00000103723.17
PEN2_HUMAN	ENSG00000205155.8
E2AK4_HUMAN	ENSG00000128829.12
BORC6_HUMAN	ENSG00000196544.8
LTOR2_HUMAN	ENSG00000116586.12
PARP2_HUMAN	ENSG00000129484.14
PARP2_HUMAN	ENSG00000291803.1
MPRI_HUMAN	ENSG00000197081.16
TBX15_HUMAN	ENSG00000092607.15
G5E962_HUMAN	ENSG00000185247.15
COQ3_HUMAN	ENSG00000132423.12
SMCR8_HUMAN	ENSG00000176994.11
SMCR8_HUMAN	ENSG00000283741.2
DLX3_HUMAN	ENSG00000064195.7
TMM88_HUMAN	ENSG00000167874.7
DYH6_HUMAN	ENSG00000115423.19
ASIC1_HUMAN	ENSG00000110881.12
KI3L3_HUMAN	ENSG00000274639.1
KI3L3_HUMAN	ENSG00000276196.1
SFXN2_HUMAN	ENSG00000156398.13
NU155_HUMAN	ENSG00000113569.16
FRMD3_HUMAN	ENSG00000172159.16
PACE1_HUMAN	ENSG00000000457.14
ZN451_HUMAN	ENSG00000112200.17
CAPS1_HUMAN	ENSG00000163618.18
PKRI1_HUMAN	ENSG00000128563.13
PYGM_HUMAN	ENSG00000068976.14
AP1G1_HUMAN	ENSG00000166747.13
DPOLQ_HUMAN	ENSG00000051341.15
TF2H4_HUMAN	ENSG00000213780.11
TF2H4_HUMAN	ENSG00000221974.11
TF2H4_HUMAN	ENSG00000236895.10
TF2H4_HUMAN	ENSG00000234370.10
TF2H4_HUMAN	ENSG00000233149.10
TF2H4_HUMAN	ENSG00000226384.10
CYTA_HUMAN	ENSG00000121552.4
E41L2_HUMAN	ENSG00000079819.20
REEP1_HUMAN	ENSG00000068615.20
PMF1_HUMAN	ENSG00000160783.19
TM165_HUMAN	ENSG00000134851.13
OAS1_HUMAN	ENSG00000089127.15
LCLT1_HUMAN	ENSG00000172954.14
HDDC2_HUMAN	ENSG00000111906.18
ZN408_HUMAN	ENSG00000175213.3
HUS1_HUMAN	ENSG00000136273.13
RAD9A_HUMAN	ENSG00000172613.8
ID4_HUMAN	ENSG00000172201.12
PSMF1_HUMAN	ENSG00000125818.18
LRAD1_HUMAN	ENSG00000203985.11
ACBD6_HUMAN	ENSG00000230124.8
DAZP2_HUMAN	ENSG00000183283.16
PLAT2_HUMAN	ENSG00000133328.4
WAC_HUMAN	ENSG00000095787.26
BCCIP_HUMAN	ENSG00000107949.17
IRX2_HUMAN	ENSG00000170561.13
THG1_HUMAN	ENSG00000113272.14
H2BFS_HUMAN	ENSG00000234289.6
THIL_HUMAN	ENSG00000075239.14
NUP35_HUMAN	ENSG00000163002.13
HXB9_HUMAN	ENSG00000170689.10
FOXP2_HUMAN	ENSG00000128573.28
BOREA_HUMAN	ENSG00000134690.11
SLAP1_HUMAN	ENSG00000155926.14
KRT35_HUMAN	ENSG00000197079.9
TOE1_HUMAN	ENSG00000132773.12
MLC1_HUMAN	ENSG00000100427.16
NR4A3_HUMAN	ENSG00000119508.18
DACT1_HUMAN	ENSG00000165617.16
GTPBA_HUMAN	ENSG00000105793.16
IGHG4_HUMAN	ENSG00000211892.4
IGHG4_HUMAN	ENSG00000277016.2
XPO6_HUMAN	ENSG00000169180.12
SF3B5_HUMAN	ENSG00000169976.7
PSG9_HUMAN	ENSG00000183668.18
CD20_HUMAN	ENSG00000156738.18
RGS4_HUMAN	ENSG00000117152.14
ANR23_HUMAN	ENSG00000163126.15
MFS4B_HUMAN	ENSG00000173214.7
DTX3L_HUMAN	ENSG00000163840.10
RM53_HUMAN	ENSG00000204822.7
JUPI1_HUMAN	ENSG00000189159.16
FANCF_HUMAN	ENSG00000183161.6
UBP30_HUMAN	ENSG00000135093.13
RET1_HUMAN	ENSG00000114115.11
MTMR4_HUMAN	ENSG00000108389.10
M18BP_HUMAN	ENSG00000129534.14
CHLE_HUMAN	ENSG00000114200.10
NELFA_HUMAN	ENSG00000185049.16
MTEF3_HUMAN	ENSG00000156469.9
HS74L_HUMAN	ENSG00000164070.12
STRN_HUMAN	ENSG00000115808.13
NBL1_HUMAN	ENSG00000158747.15
PSIP1_HUMAN	ENSG00000164985.15
HHEX_HUMAN	ENSG00000152804.11
ARK72_HUMAN	ENSG00000053371.13
PDE1A_HUMAN	ENSG00000115252.19
NDUF3_HUMAN	ENSG00000178057.15
TENS3_HUMAN	ENSG00000136205.18
MPP10_HUMAN	ENSG00000124383.11
WDR4_HUMAN	ENSG00000160193.12
RTN1_HUMAN	ENSG00000139970.18
MLRA_HUMAN	ENSG00000106631.8
MYOM1_HUMAN	ENSG00000101605.14
HHAT_HUMAN	ENSG00000054392.13
HHAT_HUMAN	ENSG00000280680.3
CLM9_HUMAN	ENSG00000161649.14
TOP3B_HUMAN	ENSG00000100038.20
GPM6A_HUMAN	ENSG00000150625.17
PBIP1_HUMAN	ENSG00000163346.17
SNP47_HUMAN	ENSG00000143740.15
ENTP3_HUMAN	ENSG00000168032.10
ELOV6_HUMAN	ENSG00000170522.10
SPTCS_HUMAN	ENSG00000104133.16
NGN1_HUMAN	ENSG00000181965.6
SOAT1_HUMAN	ENSG00000057252.13
NALD2_HUMAN	ENSG00000077616.11
NALD2_HUMAN	ENSG00000285516.2
KAD2_HUMAN	ENSG00000004455.18
UBP26_HUMAN	ENSG00000134588.13
NOL8_HUMAN	ENSG00000198000.12
NOL8_HUMAN	ENSG00000291347.1
TBC23_HUMAN	ENSG00000036054.13
ZN829_HUMAN	ENSG00000185869.15
CLC4G_HUMAN	ENSG00000182566.15
SLD5_HUMAN	ENSG00000147536.12
STX10_HUMAN	ENSG00000104915.15
T161A_HUMAN	ENSG00000064545.15
ZN148_HUMAN	ENSG00000163848.21
MRCKB_HUMAN	ENSG00000198752.11
NEDD1_HUMAN	ENSG00000139350.12
CHRD_HUMAN	ENSG00000090539.16
CAN3_HUMAN	ENSG00000092529.26
SACA1_HUMAN	ENSG00000118434.9
MISP_HUMAN	ENSG00000099812.9
STML3_HUMAN	ENSG00000133115.12
TM115_HUMAN	ENSG00000126062.4
CNR2_HUMAN	ENSG00000188822.8
GPR18_HUMAN	ENSG00000125245.14
IER5_HUMAN	ENSG00000162783.11
KGP2_HUMAN	ENSG00000138669.10
RPGR1_HUMAN	ENSG00000092200.13
TAD2A_HUMAN	ENSG00000277104.4
FGF8_HUMAN	ENSG00000107831.14
GRSF1_HUMAN	ENSG00000132463.15
RUXG_HUMAN	ENSG00000143977.14
NELL1_HUMAN	ENSG00000165973.19
GIPC2_HUMAN	ENSG00000137960.6
RAB9A_HUMAN	ENSG00000123595.8
NISCH_HUMAN	ENSG00000010322.16
ALG13_HUMAN	ENSG00000101901.13
TM234_HUMAN	ENSG00000160055.20
KANL1_HUMAN	ENSG00000120071.15
KRA51_HUMAN	ENSG00000205869.2
KRA51_HUMAN	ENSG00000278210.1
KRA51_HUMAN	ENSG00000280585.1
KRA51_HUMAN	ENSG00000291433.1
HOOK3_HUMAN	ENSG00000168172.9
RPC1_HUMAN	ENSG00000148606.15
S10A6_HUMAN	ENSG00000197956.10
PX11B_HUMAN	ENSG00000131779.11
VSTM4_HUMAN	ENSG00000165633.13
ZN281_HUMAN	ENSG00000162702.8
ARPC3_HUMAN	ENSG00000111229.16
MIER1_HUMAN	ENSG00000198160.15
RGS2_HUMAN	ENSG00000116741.8
CIAO1_HUMAN	ENSG00000144021.3
TM6S1_HUMAN	ENSG00000136404.16
PPA5_HUMAN	ENSG00000102575.14
CEP43_HUMAN	ENSG00000213066.14
TPC2A_HUMAN	ENSG00000196459.15
TPPC5_HUMAN	ENSG00000181029.9
TCF19_HUMAN	ENSG00000137310.13
LIPT_HUMAN	ENSG00000144182.17
VPP1_HUMAN	ENSG00000033627.18
SEH1_HUMAN	ENSG00000085415.16
HBE_HUMAN	ENSG00000213931.7
STA13_HUMAN	ENSG00000133121.21
ANGT_HUMAN	ENSG00000135744.9
ANM8_HUMAN	ENSG00000111218.12
MAGC2_HUMAN	ENSG00000046774.10
PRDM6_HUMAN	ENSG00000061455.11
PYGL_HUMAN	ENSG00000100504.17
FEZF1_HUMAN	ENSG00000128610.12
SDS3_HUMAN	ENSG00000111707.12
PTH_HUMAN	ENSG00000187024.15
SLAF8_HUMAN	ENSG00000158714.11
DYL2_HUMAN	ENSG00000264364.3
ESYT2_HUMAN	ENSG00000117868.18
LRFN1_HUMAN	ENSG00000128011.5
LRFN1_HUMAN	ENSG00000291874.1
CC88B_HUMAN	ENSG00000168071.22
SRGP2_HUMAN	ENSG00000266028.8
AN34A_HUMAN	ENSG00000272031.3
SYT2_HUMAN	ENSG00000143858.12
PTK7_HUMAN	ENSG00000112655.16
FOXB1_HUMAN	ENSG00000171956.7
TMTC1_HUMAN	ENSG00000133687.16
P3IP1_HUMAN	ENSG00000100100.13
GDF8_HUMAN	ENSG00000138379.5
PSB7_HUMAN	ENSG00000136930.13
POMP_HUMAN	ENSG00000132963.9
FBLN1_HUMAN	ENSG00000077942.19
K1C25_HUMAN	ENSG00000204897.7
TMM47_HUMAN	ENSG00000147027.4
LSM8_HUMAN	ENSG00000128534.8
RFX2_HUMAN	ENSG00000087903.13
KMT2C_HUMAN	ENSG00000055609.21
ARP5_HUMAN	ENSG00000101442.10
INO80_HUMAN	ENSG00000128908.19
RELL2_HUMAN	ENSG00000164620.9
CSRN2_HUMAN	ENSG00000110925.7
LNX2_HUMAN	ENSG00000139517.9
FOXC1_HUMAN	ENSG00000054598.9
HSF2_HUMAN	ENSG00000025156.13
SEC20_HUMAN	ENSG00000113734.18
NUDC3_HUMAN	ENSG00000015676.18
PSA2_HUMAN	ENSG00000106588.12
NDF1_HUMAN	ENSG00000162992.5
SAPC2_HUMAN	ENSG00000186193.9
HAND1_HUMAN	ENSG00000113196.3
CNO10_HUMAN	ENSG00000182973.20
CNO10_HUMAN	ENSG00000291502.1
CERT_HUMAN	ENSG00000113163.19
CROCC_HUMAN	ENSG00000058453.17
SYSC_HUMAN	ENSG00000031698.13
ZFY26_HUMAN	ENSG00000072121.17
CNOT3_HUMAN	ENSG00000088038.20
CNOT3_HUMAN	ENSG00000274941.4
CNOT3_HUMAN	ENSG00000275979.4
CNOT3_HUMAN	ENSG00000274176.4
CNOT3_HUMAN	ENSG00000277615.4
CNOT3_HUMAN	ENSG00000273943.4
CNOT3_HUMAN	ENSG00000274616.4
CNOT3_HUMAN	ENSG00000277600.4
CNOT3_HUMAN	ENSG00000277114.4
CNOT3_HUMAN	ENSG00000276082.4
KR212_HUMAN	ENSG00000187026.3
PG12A_HUMAN	ENSG00000123739.11
SHL2A_HUMAN	ENSG00000182183.15
PROP1_HUMAN	ENSG00000175325.2
RL35_HUMAN	ENSG00000136942.15
HIRP3_HUMAN	ENSG00000149929.16
SNX5_HUMAN	ENSG00000089006.17
TGM2_HUMAN	ENSG00000198959.12
DOCK8_HUMAN	ENSG00000107099.18
NEP_HUMAN	ENSG00000196549.13
MTRR_HUMAN	ENSG00000124275.15
METH_HUMAN	ENSG00000116984.15
F110B_HUMAN	ENSG00000169122.12
TNF6B_HUMAN	ENSG00000243509.6
PAX2_HUMAN	ENSG00000075891.24
STX17_HUMAN	ENSG00000136874.11
DNSL1_HUMAN	ENSG00000013563.14
INCE_HUMAN	ENSG00000149503.13
LDB2_HUMAN	ENSG00000169744.13
SL9A9_HUMAN	ENSG00000181804.15
HAUS8_HUMAN	ENSG00000131351.15
ERMP1_HUMAN	ENSG00000099219.15
MOT2_HUMAN	ENSG00000118596.12
LYPD5_HUMAN	ENSG00000159871.15
ADT4_HUMAN	ENSG00000151475.6
TLE3_HUMAN	ENSG00000140332.18
ZBT8A_HUMAN	ENSG00000160062.15
TTC5_HUMAN	ENSG00000136319.12
TTC5_HUMAN	ENSG00000291781.1
KAP3_HUMAN	ENSG00000005249.14
MMP1_HUMAN	ENSG00000196611.6
PLD3_HUMAN	ENSG00000105223.21
DHB1_HUMAN	ENSG00000108786.11
CQ080_HUMAN	ENSG00000141219.16
ASHWN_HUMAN	ENSG00000135974.10
IBP6_HUMAN	ENSG00000167779.9
PTOV1_HUMAN	ENSG00000104960.15
CCR4_HUMAN	ENSG00000183813.7
RPAP1_HUMAN	ENSG00000103932.12
LAMC1_HUMAN	ENSG00000135862.6
SVOP_HUMAN	ENSG00000166111.10
HXC8_HUMAN	ENSG00000037965.6
MGST2_HUMAN	ENSG00000085871.9
B2L10_HUMAN	ENSG00000137875.4
CDS2_HUMAN	ENSG00000101290.14
DCP2_HUMAN	ENSG00000172795.17
PCYOX_HUMAN	ENSG00000116005.12
MFAP1_HUMAN	ENSG00000140259.7
CATZ_HUMAN	ENSG00000101160.15
GPC5B_HUMAN	ENSG00000167191.12
VATH_HUMAN	ENSG00000047249.18
PTN_HUMAN	ENSG00000105894.13
TEX29_HUMAN	ENSG00000153495.11
RN216_HUMAN	ENSG00000011275.19
ZFN2A_HUMAN	ENSG00000178381.12
SEP11_HUMAN	ENSG00000138758.12
ERG1_HUMAN	ENSG00000104549.12
MARH6_HUMAN	ENSG00000145495.17
RAP2B_HUMAN	ENSG00000181467.5
APLP2_HUMAN	ENSG00000084234.18
IFNA2_HUMAN	ENSG00000188379.7
TPTE2_HUMAN	ENSG00000132958.19
TBC15_HUMAN	ENSG00000121749.16
LAAT1_HUMAN	ENSG00000040487.13
GT253_HUMAN	ENSG00000167123.20
KRA33_HUMAN	ENSG00000212899.3
KRA33_HUMAN	ENSG00000263101.2
ZCRB1_HUMAN	ENSG00000139168.9
ZN474_HUMAN	ENSG00000164185.7
RAD54_HUMAN	ENSG00000085999.13
RASM_HUMAN	ENSG00000158186.13
CHM1B_HUMAN	ENSG00000255112.3
THEM4_HUMAN	ENSG00000159445.13
MTND_HUMAN	ENSG00000182551.14
ETFR1_HUMAN	ENSG00000205707.11
CDC26_HUMAN	ENSG00000176386.9
LS14B_HUMAN	ENSG00000149657.20
DNJC2_HUMAN	ENSG00000105821.15
JKIP1_HUMAN	ENSG00000152969.21
CCNL2_HUMAN	ENSG00000221978.13
ARI1_HUMAN	ENSG00000166233.15
ZNF35_HUMAN	ENSG00000169981.11
ZNF35_HUMAN	ENSG00000281306.3
ARLY_HUMAN	ENSG00000126522.17
RUSF1_HUMAN	ENSG00000140688.18
VASN_HUMAN	ENSG00000168140.5
VASN_HUMAN	ENSG00000274334.1
KNL1_HUMAN	ENSG00000137812.21
TBX5_HUMAN	ENSG00000089225.20
CLM5_HUMAN	ENSG00000204345.1
CLM5_HUMAN	ENSG00000291922.1
M1IP1_HUMAN	ENSG00000165175.17
KLK9_HUMAN	ENSG00000213022.6
HACD2_HUMAN	ENSG00000206527.10
RHD_HUMAN	ENSG00000187010.21
SYT16_HUMAN	ENSG00000139973.18
TYRP1_HUMAN	ENSG00000107165.13
SH2B3_HUMAN	ENSG00000111252.11
UBFL1_HUMAN	ENSG00000255009.4
LHX9_HUMAN	ENSG00000143355.16
COX17_HUMAN	ENSG00000138495.7
OOEP_HUMAN	ENSG00000203907.10
MSMO1_HUMAN	ENSG00000052802.13
TF_HUMAN	ENSG00000117525.14
FA7_HUMAN	ENSG00000057593.14
AKA28_HUMAN	ENSG00000186471.13
IFT81_HUMAN	ENSG00000122970.16
TAF1D_HUMAN	ENSG00000166012.17
PAF1_HUMAN	ENSG00000006712.15
BACH_HUMAN	ENSG00000097021.21
VGLL1_HUMAN	ENSG00000102243.13
SNX33_HUMAN	ENSG00000173548.9
TBC17_HUMAN	ENSG00000104946.14
ZN124_HUMAN	ENSG00000196418.13
M4A14_HUMAN	ENSG00000166928.11
SSX2_HUMAN	ENSG00000241476.9
SSX2_HUMAN	ENSG00000268447.6
TM248_HUMAN	ENSG00000106609.16
MGST3_HUMAN	ENSG00000143198.13
HLPDA_HUMAN	ENSG00000135245.10
BKRB1_HUMAN	ENSG00000100739.11
APOH_HUMAN	ENSG00000091583.11
AIF1_HUMAN	ENSG00000204472.13
AIF1_HUMAN	ENSG00000206428.9
AIF1_HUMAN	ENSG00000235985.7
AIF1_HUMAN	ENSG00000237727.7
AIF1_HUMAN	ENSG00000234836.7
AIF1_HUMAN	ENSG00000235588.8
KCC1D_HUMAN	ENSG00000183049.14
ACO12_HUMAN	ENSG00000172497.9
NAA11_HUMAN	ENSG00000156269.5
ZN670_HUMAN	ENSG00000277462.2
TM50A_HUMAN	ENSG00000183726.11
CACO1_HUMAN	ENSG00000012822.16
S35E4_HUMAN	ENSG00000100036.13
CEP97_HUMAN	ENSG00000182504.12
HXA5_HUMAN	ENSG00000106004.5
SYNCI_HUMAN	ENSG00000162520.15
ZN165_HUMAN	ENSG00000197279.5
RIC3_HUMAN	ENSG00000166405.16
ILKAP_HUMAN	ENSG00000132323.9
SR140_HUMAN	ENSG00000163714.18
CHM4B_HUMAN	ENSG00000101421.4
EIF1A_HUMAN	ENSG00000175376.9
MED15_HUMAN	ENSG00000099917.17
VPS29_HUMAN	ENSG00000111237.19
VP26A_HUMAN	ENSG00000122958.15
CWC15_HUMAN	ENSG00000150316.12
EI2BD_HUMAN	ENSG00000115211.17
QCR1_HUMAN	ENSG00000010256.11
SNTB1_HUMAN	ENSG00000172164.15
TANC1_HUMAN	ENSG00000115183.15
RAB1A_HUMAN	ENSG00000138069.18
TXD12_HUMAN	ENSG00000117862.13
CAHM6_HUMAN	ENSG00000188820.13
CBARP_HUMAN	ENSG00000099625.14
DEAF1_HUMAN	ENSG00000177030.19
TIGIT_HUMAN	ENSG00000181847.12
EXO1_HUMAN	ENSG00000174371.17
ZKSC3_HUMAN	ENSG00000189298.14
TM242_HUMAN	ENSG00000215712.11
BBS7_HUMAN	ENSG00000138686.10
AN32B_HUMAN	ENSG00000136938.9
ECE1_HUMAN	ENSG00000117298.16
ZN620_HUMAN	ENSG00000177842.12
GSK3A_HUMAN	ENSG00000105723.13
G6PT1_HUMAN	ENSG00000281500.5
RCOR1_HUMAN	ENSG00000089902.10
A16L2_HUMAN	ENSG00000168010.11
EHD3_HUMAN	ENSG00000013016.16
CYFP1_HUMAN	ENSG00000273749.5
CYFP1_HUMAN	ENSG00000288461.1
POLK_HUMAN	ENSG00000122008.16
PACA_HUMAN	ENSG00000141433.13
HELLS_HUMAN	ENSG00000119969.16
MYO1B_HUMAN	ENSG00000128641.19
RN139_HUMAN	ENSG00000170881.5
RN139_HUMAN	ENSG00000291729.1
UBP33_HUMAN	ENSG00000077254.14
GBB4_HUMAN	ENSG00000114450.11
ZN593_HUMAN	ENSG00000142684.9
FAHD1_HUMAN	ENSG00000180185.13
IP6K1_HUMAN	ENSG00000176095.12
EXOS7_HUMAN	ENSG00000075914.13
TSACC_HUMAN	ENSG00000163467.12
SBP1_HUMAN	ENSG00000143416.21
MED31_HUMAN	ENSG00000108590.11
BIN3_HUMAN	ENSG00000147439.14
TAF6L_HUMAN	ENSG00000162227.8
MFSD6_HUMAN	ENSG00000151690.15
TM258_HUMAN	ENSG00000134825.16
CBPB1_HUMAN	ENSG00000153002.12
EVI5_HUMAN	ENSG00000067208.17
CLN6_HUMAN	ENSG00000128973.13
IQCN_HUMAN	ENSG00000130518.18
RFC3_HUMAN	ENSG00000133119.13
NRIP2_HUMAN	ENSG00000053702.15
GLP3L_HUMAN	ENSG00000143457.11
3BHS1_HUMAN	ENSG00000203857.10
REN3A_HUMAN	ENSG00000169062.15
ATP9A_HUMAN	ENSG00000054793.14
HCN2_HUMAN	ENSG00000099822.3
UD14_HUMAN	ENSG00000244474.6
KMT5A_HUMAN	ENSG00000183955.14
SRS11_HUMAN	ENSG00000116754.14
NDUBB_HUMAN	ENSG00000147123.12
SC23B_HUMAN	ENSG00000101310.17
PEDF_HUMAN	ENSG00000132386.11
RET3_HUMAN	ENSG00000265203.2
BMP10_HUMAN	ENSG00000163217.2
PAX9_HUMAN	ENSG00000198807.13
UBD_HUMAN	ENSG00000213886.4
UBD_HUMAN	ENSG00000206468.3
UBD_HUMAN	ENSG00000231968.2
UBD_HUMAN	ENSG00000228913.2
HXD4_HUMAN	ENSG00000170166.6
NDRG4_HUMAN	ENSG00000103034.15
PI5PA_HUMAN	ENSG00000185133.14
GBG5_HUMAN	ENSG00000174021.12
PKHB1_HUMAN	ENSG00000021300.14
WBP1L_HUMAN	ENSG00000166272.18
CAD23_HUMAN	ENSG00000107736.22
TM45A_HUMAN	ENSG00000181458.10
HINFP_HUMAN	ENSG00000172273.13
DJC15_HUMAN	ENSG00000120675.6
SCP2_HUMAN	ENSG00000116171.19
ISL1_HUMAN	ENSG00000016082.15
ZN511_HUMAN	ENSG00000198546.15
ACTHR_HUMAN	ENSG00000185231.5
MED29_HUMAN	ENSG00000063322.15
PIGU_HUMAN	ENSG00000101464.11
FPR2_HUMAN	ENSG00000171049.9
CBR3_HUMAN	ENSG00000159231.6
OPRK_HUMAN	ENSG00000082556.14
APJ_HUMAN	ENSG00000134817.12
DNJC4_HUMAN	ENSG00000110011.14
TOM6_HUMAN	ENSG00000214736.8
CL12B_HUMAN	ENSG00000256660.7
BEX3_HUMAN	ENSG00000166681.14
PLCB1_HUMAN	ENSG00000182621.19
MZT1_HUMAN	ENSG00000204899.6
FGF9_HUMAN	ENSG00000102678.7
FKBP3_HUMAN	ENSG00000100442.11
AURKC_HUMAN	ENSG00000105146.14
KCNRG_HUMAN	ENSG00000198553.9
STAR_HUMAN	ENSG00000147465.12
LHX5_HUMAN	ENSG00000089116.4
CLD10_HUMAN	ENSG00000134873.10
TSN33_HUMAN	ENSG00000158457.6
S39A2_HUMAN	ENSG00000165794.10
T23O_HUMAN	ENSG00000151790.9
T23O_HUMAN	ENSG00000262635.5
KISHB_HUMAN	ENSG00000215717.7
LSS_HUMAN	ENSG00000160285.15
FKB10_HUMAN	ENSG00000141756.20
NEIL2_HUMAN	ENSG00000154328.16
NEIL2_HUMAN	ENSG00000292286.1
KLF13_HUMAN	ENSG00000169926.11
KLF13_HUMAN	ENSG00000275746.1
ADA12_HUMAN	ENSG00000148848.15
FABPH_HUMAN	ENSG00000121769.8
AKA7A_HUMAN	ENSG00000118507.19
H3C_HUMAN	ENSG00000188375.5
SYNRG_HUMAN	ENSG00000275066.5
SYNRG_HUMAN	ENSG00000274047.4
RS5_HUMAN	ENSG00000083845.9
SYK_HUMAN	ENSG00000065427.15
PCSK7_HUMAN	ENSG00000160613.15
ZBED1_HUMAN	ENSG00000214717.12
ZBED1_HUMAN	ENSG00000292345.1
KI16B_HUMAN	ENSG00000089177.20
PSB8_HUMAN	ENSG00000204264.12
PSB8_HUMAN	ENSG00000206298.8
PSB8_HUMAN	ENSG00000236443.6
PSB8_HUMAN	ENSG00000226201.6
PSB8_HUMAN	ENSG00000231631.6
PSB8_HUMAN	ENSG00000230669.6
PSB8_HUMAN	ENSG00000235715.6
PSB8_HUMAN	ENSG00000230034.8
CCHL_HUMAN	ENSG00000004961.15
LRC3B_HUMAN	ENSG00000179796.13
KRA24_HUMAN	ENSG00000213417.3
KRA24_HUMAN	ENSG00000263091.2
KRA24_HUMAN	ENSG00000292035.1
ELL2_HUMAN	ENSG00000118985.16
CCNB3_HUMAN	ENSG00000147082.18
KR191_HUMAN	ENSG00000184351.8
AAK1_HUMAN	ENSG00000115977.21
WNK1_HUMAN	ENSG00000060237.19
OCRL_HUMAN	ENSG00000122126.18
SESQ2_HUMAN	ENSG00000177096.9
CRYAA_HUMAN	ENSG00000160202.7
MKKS_HUMAN	ENSG00000125863.20
SNAB_HUMAN	ENSG00000125814.17
OSTB_HUMAN	ENSG00000186198.4
COX6C_HUMAN	ENSG00000164919.11
DEGS1_HUMAN	ENSG00000143753.14
GEMI6_HUMAN	ENSG00000152147.11
CENPB_HUMAN	ENSG00000125817.8
LIN7A_HUMAN	ENSG00000111052.8
AGGF1_HUMAN	ENSG00000164252.13
DCTP1_HUMAN	ENSG00000179958.10
S12A4_HUMAN	ENSG00000124067.17
SPN1_HUMAN	ENSG00000169371.14
DOXA2_HUMAN	ENSG00000140274.14
RAB5B_HUMAN	ENSG00000111540.16
AP4AT_HUMAN	ENSG00000167302.11
VPS18_HUMAN	ENSG00000104142.11
USH1G_HUMAN	ENSG00000182040.9
NUP85_HUMAN	ENSG00000125450.11
CAPG_HUMAN	ENSG00000042493.16
COQ9_HUMAN	ENSG00000088682.14
SMI19_HUMAN	ENSG00000176209.12
SIAS_HUMAN	ENSG00000095380.11
CNDD3_HUMAN	ENSG00000151503.14
CCL16_HUMAN	ENSG00000275152.5
CCL16_HUMAN	ENSG00000275095.2
SCAM4_HUMAN	ENSG00000227500.11
CCR9_HUMAN	ENSG00000173585.18
PTPRG_HUMAN	ENSG00000144724.20
HARS1_HUMAN	ENSG00000170445.16
CNPY2_HUMAN	ENSG00000257727.6
BACD1_HUMAN	ENSG00000174943.11
DUS21_HUMAN	ENSG00000189037.8
ZN398_HUMAN	ENSG00000197024.9
SKT_HUMAN	ENSG00000120549.19
SPD2B_HUMAN	ENSG00000174705.13
CO8A1_HUMAN	ENSG00000144810.16
MET15_HUMAN	ENSG00000169519.21
STAG1_HUMAN	ENSG00000118007.13
SPIT1_HUMAN	ENSG00000166145.15
FAM3C_HUMAN	ENSG00000196937.11
TRIM9_HUMAN	ENSG00000100505.14
U1SBP_HUMAN	ENSG00000184209.15
PDK3_HUMAN	ENSG00000067992.17
SIGL9_HUMAN	ENSG00000129450.9
SPAG4_HUMAN	ENSG00000061656.11
CX6B2_HUMAN	ENSG00000160471.13
PERF_HUMAN	ENSG00000180644.8
ATF5_HUMAN	ENSG00000169136.13
CPIN1_HUMAN	ENSG00000005194.15
DERL3_HUMAN	ENSG00000099958.15
DERL3_HUMAN	ENSG00000274437.4
RTP4_HUMAN	ENSG00000136514.3
RTP4_HUMAN	ENSG00000291555.1
SCN5A_HUMAN	ENSG00000183873.18
ANM3_HUMAN	ENSG00000185238.13
HLF_HUMAN	ENSG00000108924.14
CCG1_HUMAN	ENSG00000108878.5
SYCY2_HUMAN	ENSG00000244476.3
HEMK1_HUMAN	ENSG00000114735.10
CP054_HUMAN	ENSG00000185905.4
SNAA_HUMAN	ENSG00000105402.8
TFCP2_HUMAN	ENSG00000135457.11
ZG16_HUMAN	ENSG00000174992.8
LMTD1_HUMAN	ENSG00000152936.11
NOL4_HUMAN	ENSG00000101746.16
TM6S2_HUMAN	ENSG00000213996.13
BRI3_HUMAN	ENSG00000164713.10
E2F2_HUMAN	ENSG00000007968.7
E2F2_HUMAN	ENSG00000282899.2
SNP29_HUMAN	ENSG00000099940.12
T179B_HUMAN	ENSG00000185475.11
TM236_HUMAN	ENSG00000148483.9
MB3L1_HUMAN	ENSG00000170948.4
MB3L1_HUMAN	ENSG00000291743.1
ULBP3_HUMAN	ENSG00000131019.11
SP4_HUMAN	ENSG00000105866.15
TRNT1_HUMAN	ENSG00000072756.18
S13A5_HUMAN	ENSG00000141485.17
GPR35_HUMAN	ENSG00000178623.13
DLG2_HUMAN	ENSG00000150672.19
TBB3_HUMAN	ENSG00000258947.8
KCD21_HUMAN	ENSG00000188997.8
UFM1_HUMAN	ENSG00000120686.12
MEMO1_HUMAN	ENSG00000162959.14
ZN440_HUMAN	ENSG00000171295.13
ANKH1_HUMAN	ENSG00000131503.21
NS1BP_HUMAN	ENSG00000116679.16
PCDH9_HUMAN	ENSG00000184226.15
TM208_HUMAN	ENSG00000168701.19
GCP4_HUMAN	ENSG00000137822.13
DIDO1_HUMAN	ENSG00000101191.17
ESM1_HUMAN	ENSG00000164283.13
ZNRD2_HUMAN	ENSG00000173465.8
CPSF4_HUMAN	ENSG00000160917.15
TOIP2_HUMAN	ENSG00000169905.13
PTPRK_HUMAN	ENSG00000152894.15
PTPRK_HUMAN	ENSG00000273993.4
ACM2_HUMAN	ENSG00000181072.12
SYMC_HUMAN	ENSG00000166986.15
ICAM1_HUMAN	ENSG00000090339.9
